type,time,exchange,competitor,odds,agentID,decision,stake
Trade,18.992542028427124,0,0,1.1,4,layer,15
Trade,19.186119079589844,0,0,1.1,31,backer,15
Trade,19.186119079589844,0,0,1.1,4,layer,15
Trade,19.211410999298096,0,0,1.1,34,backer,15
Trade,19.211410999298096,0,0,1.1,3,layer,15
Trade,19.235743045806885,0,0,1.1,36,backer,15
Trade,19.235743045806885,0,0,1.1,1,layer,15
Trade,19.305098056793213,0,0,1.1,30,backer,15
Trade,19.305098056793213,0,0,1.1,4,layer,15
Trade,19.3241970539093,0,0,1.1,33,backer,15
Trade,19.3241970539093,0,0,1.1,4,layer,15
Trade,19.3805410861969,0,0,1.1,39,backer,15
Trade,19.3805410861969,0,0,1.1,1,layer,15
Trade,19.399595022201538,0,0,1.1,35,backer,15
Trade,19.399595022201538,0,0,1.1,4,layer,15
Trade,19.434704065322876,0,0,1.1,32,backer,15
Trade,19.434704065322876,0,0,1.1,4,layer,15
Trade,19.453869819641113,0,0,1.1,13,backer,15
Trade,19.453869819641113,0,0,1.1,4,layer,15
Trade,19.587739944458008,0,0,1.1,19,backer,15
Trade,19.587739944458008,0,0,1.1,1,layer,15
Trade,19.786702871322632,0,0,1.1,18,backer,15
Trade,19.786702871322632,0,0,1.1,4,layer,15
Trade,20.034116983413696,0,0,1.1,11,backer,15
Trade,20.034116983413696,0,0,1.1,4,layer,15
Trade,20.698995113372803,0,0,1.1,15,backer,15
Trade,20.698995113372803,0,0,1.1,1,layer,15
Trade,20.93134093284607,0,0,1.1,10,backer,15
Trade,20.93134093284607,0,0,1.1,1,layer,15
Trade,21.130124807357788,0,0,1.1,16,backer,15
Trade,21.130124807357788,0,0,1.1,4,layer,15
Trade,21.504359006881714,0,0,1.1,14,backer,15
Trade,21.504359006881714,0,0,1.1,1,layer,15
Trade,21.567360162734985,0,0,1.1,17,backer,15
Trade,21.567360162734985,0,0,1.1,1,layer,15
Trade,21.849048852920532,0,0,1.1,12,backer,15
Trade,21.849048852920532,0,0,1.1,3,layer,15
Trade,21.989102840423584,0,0,1.1,13,backer,15
Trade,21.989102840423584,0,0,1.1,24,layer,15
Trade,22.18295693397522,0,0,1.1,19,backer,15
Trade,22.18295693397522,0,0,1.1,3,layer,15
Trade,22.332336902618408,0,0,1.1,18,backer,15
Trade,22.332336902618408,0,0,1.1,3,layer,15
Trade,22.419039011001587,0,0,1.1,11,backer,15
Trade,22.419039011001587,0,0,1.1,1,layer,15
Trade,22.45994806289673,0,0,1.1,15,backer,15
Trade,22.45994806289673,0,0,1.1,3,layer,15
Trade,22.599462032318115,0,0,1.1,10,backer,15
Trade,22.599462032318115,0,0,1.1,1,layer,15
Trade,22.927141904830933,0,0,1.1,16,backer,15
Trade,22.927141904830933,0,0,1.1,4,layer,15
Trade,23.1459002494812,0,0,1.1,14,backer,15
Trade,23.1459002494812,0,0,1.1,1,layer,15
Trade,23.53472590446472,0,0,1.1,17,backer,15
Trade,23.53472590446472,0,0,1.1,1,layer,15
Trade,24.204864025115967,0,0,1.1,12,backer,15
Trade,24.204864025115967,0,0,1.1,3,layer,15
Trade,24.54273295402527,0,0,1.1,11,backer,15
Trade,24.54273295402527,0,0,1.1,1,layer,15
Trade,24.54658794403076,0,0,1.1,13,backer,15
Trade,24.54658794403076,0,0,1.1,4,layer,15
Trade,24.7279109954834,0,0,1.1,10,backer,15
Trade,24.7279109954834,0,0,1.1,3,layer,15
Trade,25.364259004592896,0,0,1.1,16,backer,15
Trade,25.364259004592896,0,0,1.1,1,layer,15
Trade,25.817074060440063,0,0,1.1,15,backer,15
Trade,25.817074060440063,0,0,1.1,1,layer,15
Trade,26.080584049224854,0,0,1.1,19,backer,15
Trade,26.080584049224854,0,0,1.1,1,layer,15
Trade,26.36220097541809,0,0,1.1,18,backer,15
Trade,26.36220097541809,0,0,1.1,3,layer,15
Trade,26.5382080078125,0,0,1.1,14,backer,15
Trade,26.5382080078125,0,0,1.1,3,layer,15
Trade,26.67387294769287,0,0,1.1,17,backer,15
Trade,26.67387294769287,0,0,1.1,3,layer,15
Trade,26.743531227111816,0,0,1.1,12,backer,15
Trade,26.743531227111816,0,0,1.1,4,layer,15
Trade,28.799314975738525,0,0,1.1,13,backer,15
Trade,28.799314975738525,0,0,1.1,1,layer,15
Trade,29.767740964889526,0,0,1.1,11,backer,15
Trade,29.767740964889526,0,0,1.1,4,layer,15
Trade,30.039376974105835,0,0,1.1,10,backer,15
Trade,30.039376974105835,0,0,1.1,1,layer,15
Trade,30.466602087020874,0,0,1.1,16,backer,15
Trade,30.466602087020874,0,0,1.1,3,layer,15
Trade,30.58912706375122,0,0,1.1,12,backer,15
Trade,30.58912706375122,0,0,1.1,3,layer,15
Trade,30.732680082321167,0,0,1.1,15,backer,15
Trade,30.732680082321167,0,0,1.1,3,layer,15
Trade,30.81289315223694,0,0,1.1,18,backer,15
Trade,30.81289315223694,0,0,1.1,3,layer,15
Trade,30.942074060440063,0,0,1.1,19,backer,15
Trade,30.942074060440063,0,0,1.1,3,layer,15
Trade,31.16922879219055,0,0,1.1,17,backer,15
Trade,31.16922879219055,0,0,1.1,1,layer,15
