type,competitorID,time,exchange,odds,agentID,stake,distance,rank,balance,decision
Trade,1,38.465261697769165,0,7.601066253719159,4,15,393.32790828382286,4,99999805,layer
Trade,1,38.701106786727905,0,5.341587501124147,4,15,403.14049852005314,4,99999805,backer
Trade,1,38.701106786727905,0,5.341587501124147,57,15,403.14049852005314,4,100000416.15263605,layer
Trade,1,38.93101906776428,0,8.698310329010116,4,15,403.14049852005314,4,99999805,backer
Trade,1,38.93101906776428,0,8.698310329010116,58,15,403.14049852005314,4,100000446.26711309,layer
Trade,1,39.1722686290741,0,5.2415875011241475,4,15,403.14049852005314,4,99999805,backer
Trade,1,39.1722686290741,0,5.2415875011241475,56,15,403.14049852005314,4,100000301.07631803,layer
Trade,1,39.38675570487976,0,5.2415875011241475,4,15,403.14049852005314,4,99999805,backer
Trade,1,39.38675570487976,0,5.2415875011241475,59,15,403.14049852005314,4,100000363.11447704,layer
Trade,2,1.098336935043335,0,1.1,33,15,0.0,3,99999981.46184099,backer
Trade,2,1.098336935043335,0,1.1,0,15,0.0,3,99999637.67020077,layer
Trade,2,1.1848938465118408,0,1.1,36,15,8.917476650892773,2,99999981.46184099,backer
Trade,2,1.1848938465118408,0,1.1,0,15,8.917476650892773,2,99999637.67020077,layer
Trade,2,1.8756358623504639,0,1.1,39,15,8.917476650892773,2,99999996.46184099,backer
Trade,2,1.8756358623504639,0,1.1,0,15,8.917476650892773,2,99999637.67020077,layer
Trade,2,2.1101419925689697,0,1.1,34,15,8.917476650892773,2,99999996.46184099,backer
Trade,2,2.1101419925689697,0,1.1,0,15,8.917476650892773,2,99999637.67020077,layer
Trade,2,2.6377809047698975,0,1.1,32,15,20.006251816905824,2,99999971.5,backer
Trade,2,2.6377809047698975,0,1.1,0,15,20.006251816905824,2,99999637.67020077,layer
Trade,2,3.485908031463623,0,1.1,38,15,25.977044819827043,3,100000000.96184099,backer
Trade,2,3.485908031463623,0,1.1,0,15,25.977044819827043,3,99999637.67020077,layer
Trade,2,3.6541240215301514,0,1.1,37,15,25.977044819827043,3,99999986.5,backer
Trade,2,3.6541240215301514,0,1.1,0,15,25.977044819827043,3,99999637.67020077,layer
Trade,2,3.7334089279174805,0,1.1,35,15,25.977044819827043,3,99999986.5,backer
Trade,2,3.7334089279174805,0,1.1,0,15,25.977044819827043,3,99999637.67020077,layer
Trade,2,3.8071818351745605,0,1.1,30,15,25.977044819827043,3,99999981.46184099,backer
Trade,2,3.8071818351745605,0,1.1,0,15,25.977044819827043,3,99999637.67020077,layer
Trade,2,3.983750820159912,0,1.1,31,15,25.977044819827043,3,100000000.96184099,backer
Trade,2,3.983750820159912,0,1.1,0,15,25.977044819827043,3,99999637.67020077,layer
Trade,2,6.578925848007202,0,1.1,23,15,58.92237181665885,2,99999998.5,backer
Trade,2,6.578925848007202,0,1.1,0,15,58.92237181665885,2,99999637.67020077,layer
Trade,2,6.6991260051727295,0,1.1,22,15,58.92237181665885,2,99999998.5,backer
Trade,2,6.6991260051727295,0,1.1,0,15,58.92237181665885,2,99999637.67020077,layer
Trade,2,6.92280387878418,0,1.15,52,15,58.92237181665885,2,99999972.25,backer
Trade,2,6.92280387878418,0,1.15,0,15,58.92237181665885,2,99999637.67020077,layer
Trade,2,7.3293750286102295,0,5.3923380895822355,21,15,72.7309859698206,1,100000064.38507134,backer
Trade,2,7.3293750286102295,0,5.3923380895822355,0,15,72.7309859698206,1,99999637.67020077,layer
Trade,2,7.7272748947143555,0,1.1,0,15,72.7309859698206,1,99999637.67020077,backer
Trade,2,7.7272748947143555,0,1.1,58,15,72.7309859698206,1,100000446.26711309,layer
Trade,2,7.96950888633728,0,1.1,0,15,72.7309859698206,1,99999637.67020077,backer
Trade,2,7.96950888633728,0,1.1,57,15,72.7309859698206,1,100000416.15263605,layer
Trade,2,8.29528284072876,0,1.1,15,15,72.7309859698206,1,100000294.93668625,backer
Trade,2,8.29528284072876,0,1.1,58,15,72.7309859698206,1,100000446.26711309,layer
